Breed	iDog_ID	iDog_Ref	Alt_Names	Country_of_Origin	AKC	CKC	UKC	FCI
Ciobanesc Romanesc Mioritic	CB328	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=345	Ciobanesc Romanesc Mioritic|Romanian Mioritic|Mioritic Shepherd|Romanian Mioritic Shepherd Dog	Romania	https://www.akc.org/dog-breeds/romanian-mioritic-shepherd-dog/		https://www.ukcdogs.com/romanian-mioritic-shepherd-dog	http://www.fci.be/en/nomenclature/ROMANIAN-MIORITIC-SHEPHERD-DOG-349.html
Croatian Sheepdog	CB329	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=346	Croatian Sheepdog|Hrvatski ovcar|Kroatischer Schäferhund	Croatia	https://www.akc.org/dog-breeds/croatian-sheepdog/		https://www.ukcdogs.com/croatian-sheepdog	http://www.fci.be/en/nomenclature/CROATIAN-SHEPHERD-DOG-277.html
Deutsche Bracke	CB330	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=348	Deutsche Bracke|German Bracke|Olper Bracke|Westphalian Bracke|German Hound	Germany			https://www.ukcdogs.com/deutsche-bracke	http://www.fci.be/en/nomenclature/GERMAN-HOUND-299.html
Dunker	CB331	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=349	Dunker|Norwegian Hound	Norway			https://www.ukcdogs.com/dunker	http://www.fci.be/en/nomenclature/NORWEGIAN-HOUND-203.html
Dutch Smoushond	CB332	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=350	Dutch Smoushond|Dutch Ratter|Hollandse Smoushond	Netherlands			https://www.ukcdogs.com/dutch-smoushond	http://www.fci.be/en/nomenclature/DUTCH-SMOUSHOND-308.html
East Siberian Laika	CB333	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=351	East Siberian Laika|East Siberian Laika	Russia			https://www.ukcdogs.com/east-siberian-laika	http://www.fci.be/en/nomenclature/EAST-SIBERIAN-LAIKA-305.html
English Shepherd	CB334	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=355	English Shepherd|Farm collie	United Kingdom (England)			https://www.ukcdogs.com/english-shepherd	
Epagneul Pont-Audemer	CB335	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=356	Epagneul Pont-Audemer|Epagneul Pont-Audemer	France			https://www.ukcdogs.com/epagneul-pont-audemer	http://www.fci.be/en/nomenclature/PONT-AUDEMER-SPANIEL-114.html
Epagneul Picard	CB336	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=357	Epagneul Picard|Picardy Spaniel	France			https://www.ukcdogs.com/epagneul-picard	http://www.fci.be/en/nomenclature/PICARDY-SPANIEL-108.html
Finnish Hound	CB337	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=359	Finnish Hound|Suomenajokoira|Finnish Bracke	Finland			https://www.ukcdogs.com/finnish-hound	http://www.fci.be/en/nomenclature/FINNISH-HOUND-51.html
Francais Blanc et Orange	CB338	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=360	Francais Blanc et Orange|Francais Blanc et Orange				https://www.ukcdogs.com/francais-blanc-et-orange	
Fresian Water Dog	CB339	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=361	"Fresian Water Dog|Wetterhoun|Otterhoun|Dutch ""Spaniel""|Frisian Water Dog"	Netherlands	https://www.akc.org/dog-breeds/wetterhoun/		https://www.ukcdogs.com/fresian-water-dog	http://www.fci.be/en/nomenclature/FRISIAN-WATER-DOG-221.html
German Rough Haired Pointer	CB340	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=362	German Rough Haired Pointer|Deutscher stichelhaariger|Vorstehhund|Deutsch Stichelhaar	Germany			https://www.ukcdogs.com/german-rough-haired-pointer	http://www.fci.be/en/nomenclature/DEUTSCH-STICHELHAAR-232.html
Grand Bleu de Gascogne	CB341	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=363	Grand Bleu de Gascogne|Grand Bleu de Gascogne	France			https://www.ukcdogs.com/grand-bleu-de-gascogne	http://www.fci.be/en/nomenclature/GREAT-GASCONY-BLUE-22.html
Grand Gascon-Saintongeois	CB342	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=364	Grand Gascon-Saintongeois|Grand Gascon-Saintongeois				https://www.ukcdogs.com/grand-gascon-saitongeois	
Grand Griffon Vendeen	CB343	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=365	Grand Griffon Vendeen|Large Vendéen Griffon	France			https://www.ukcdogs.com/grand-griffon-vendeen	http://www.fci.be/en/nomenclature/GRAND-GRIFFON-VENDEEN-282.html
Great Anglo-Francais Tricolor Hound	CB344	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=366	Great Anglo-Francais Tricolor Hound|Great Anglo-Francais Tricolor Hound	France			https://www.ukcdogs.com/great-algo-francais-tricolor-hound	http://www.fci.be/en/nomenclature/GREAT-ANGLO-FRENCH-TRICOLOUR-HOUND-322.html
Great Anglo-Francais White and Black Hound	CB345	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=367	Great Anglo-Francais White and Black Hound|Grand Anglo-Français Blanc et Noir	France			https://www.ukcdogs.com/great-anglo-francais-white-and-black-hound	http://www.fci.be/en/nomenclature/GREAT-ANGLO-FRENCH-WHITE-AND-BLACK-HOUND-323.html
Great Anglo-Francais White and Orange Hound	CB346	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=368	Great Anglo-Francais White and Orange Hound|Great Anglo-Francais White and Orange Hound	France			https://www.ukcdogs.com/great-anglo-francais-white-and-orange-hound	http://www.fci.be/en/nomenclature/GREAT-ANGLO-FRENCH-WHITE-ORANGE-HOUND-324.html
Griffon Bleu de Gascogne	CB347	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=369	Griffon Bleu de Gascogne|Griffon Bleu de Gascogne	France			https://www.ukcdogs.com/griffon-bleu-de-gascogne	http://www.fci.be/en/nomenclature/BLUE-GASCONY-GRIFFON-32.html
Griffon Fauve de Bretagne	CB348	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=370	Griffon Fauve de Bretagne|Fawn BRITTANY GRIFFON	France			https://www.ukcdogs.com/griffon-fauve-de-bretagne	http://www.fci.be/en/nomenclature/FAWN-BRITTANY-GRIFFON-66.html
Griffon Nivernais	CB349	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=371	Griffon Nivernais|Griffon Nivernais	France			https://www.ukcdogs.com/griffon-nivernais	http://www.fci.be/en/nomenclature/GRIFFON-NIVERNAIS-17.html
Haldenstover (Halden Hound)	CB350	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=372	Haldenstover (Halden Hound)|Halden Hound	Norway			https://www.ukcdogs.com/haldenstover-halden-hound	http://www.fci.be/en/nomenclature/HALDEN-HOUND-267.html
Hanoverian Hound	CB351	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=373	Hanoverian Hound|Hanover Hound|Hanoverian Scenthound|Hannover'scher Schweisshund	Germany			https://www.ukcdogs.com/hanoverian-hound	
Hellenic Hound	CB352	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=374	Hellenic Hound|Hellenikos Ichnilatis|Greek Hound|Greek Harehound	Greece			https://www.ukcdogs.com/hellenic-hound	http://www.fci.be/en/nomenclature/HELLENIC-HOUND-214.html
Hungarian Greyhound (Magyar Agar)	CB353	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=375	Hungarian Greyhound (Magyar Agar)|Hungarian greyhound|Hungarian agar	Hungary, Transylvania			https://www.ukcdogs.com/hungarian-greyhound-magyar-agar	http://www.fci.be/en/nomenclature/HUNGARIAN-GREYHOUND-240.html
Hygen Hound	CB354	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=377	Hygen Hound|Hygenhund	Norway			https://www.ukcdogs.com/hygen-hound	http://www.fci.be/en/nomenclature/HYGEN-HOUND-266.html
Istrian Short-Haired Hound	CB355	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=379	Istrian Short-Haired Hound|Istrian Short-Haired Hound	Croatia			https://www.ukcdogs.com/istrian-short-haired-hound	http://www.fci.be/en/nomenclature/ISTRIAN-SHORT-HAIRED-HOUND-151.html
Italian Hound	CB356	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=380	Italian Hound|Segugio Italiano	Italy			https://www.ukcdogs.com/italian-hound	
Jack Russell Terrier	CB357	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=381	JRT|Jack|Jack Russell Terrier	United Kingdom (England)			https://www.ukcdogs.com/jack-russell-terrier	http://www.fci.be/en/nomenclature/JACK-RUSSELL-TERRIER-345.html
