Breed	Variety	Breed Group (KC)	Import Status (KC)	Source (KC)
Norwegian Buhund		Pastoral	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/pastoral/norwegian-buhund/
Norwegian Elkhound		Hound	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/hound/norwegian-elkhound/
Norwich Terrier		Terrier	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/terrier/norwich-terrier/
Old English Sheepdog		Pastoral	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/pastoral/old-english-sheepdog/
Otterhound		Hound	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/hound/otterhound/
Papillon		Toy	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/toy/papillon/
Parson Russell Terrier		Terrier	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/terrier/parson-russell-terrier/
Pekingese		Toy	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/toy/pekingese/
Pharaoh Hound		Hound	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/hound/pharaoh-hound/
Picardy Sheepdog		Pastoral	True	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/pastoral/picardy-sheepdog-imp/
Pointer		Gundog	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/gundog/pointer/
Polish Lowland Sheepdog		Pastoral	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/pastoral/polish-lowland-sheepdog/
Pomeranian		Toy	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/toy/pomeranian/
Poodle	Miniature	Utility	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/utility/poodle-miniature/
Poodle	Standard	Utility	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/utility/poodle-standard/
Poodle	Toy	Utility	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/utility/poodle-toy/
Portuguese Podengo		Hound	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/hound/portuguese-podengo/
Portuguese Pointer		Gundog	True	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/gundog/portuguese-pointer-imp/
Portuguese Water Dog		Working	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/working/portuguese-water-dog/
Pug		Toy	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/toy/pug/
Pyrenean Mastiff		Working	True	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/working/pyrenean-mastiff-imp/
